"id";"fr";"en";"EN";"d";"D";"i";"I";"e";"E"
"txt_0016";"🏷️ 6. Gabarits et mots-clés";"🏷️ 6. Templates and keywords";"";"🏷️ 6. Modèles prédéfinis et étiquettes

Ne vous inquiétez pas, cette section va vous expliquer comment utiliser des ""modèles"" (pensez à des formulaires pré-remplis) et des ""étiquettes"" (comme des autocollants de couleur) pour organiser vos photos de patients plus facilement. C'est comme avoir un système de classement automatique pour vos dossiers !";"";"[X]";"";"[X]";""
"txt_0017";"🖼️ 7. Viewers";"🖼️ 7. Viewers";"";"[=]";"";"[X]";"";"[X]";""
"txt_0018";"✏️ 8. Modification de photos";"✏️ 8. Editing photos";"";"[=]";"";"[X]";"";"[X]";""
"txt_0019";"🎬 9. Présentations fixes";"🎬 9. Fixed presentations";"";"🎬 9. Créer des présentations automatiques

Cette fonction vous permet de créer des diaporamas qui se lancent tout seuls, comme un album photo numérique qui tourne en boucle dans votre salle d'attente. C'est parfait pour montrer vos réalisations à vos patients sans avoir besoin d'appuyer sur des boutons !";"";"[X]";"";"[X]";""
"txt_0020";"🖥️ 10. Le Docking (personnalisation du bureau)";"🖥️ 10. Docking (desktop customisation)";"";"🖥️ 10. Organiser votre espace de travail (comme personnaliser votre bureau)

Le ""Docking"" est un terme technique qui signifie simplement ""organiser votre espace de travail"". C'est comme réaménager votre bureau physique pour avoir vos outils les plus importants à portée de main.

Cette fonction vous permet de déplacer et organiser les différentes fenêtres du logiciel selon vos préférences, exactement comme vous arrangeriez les objets sur votre bureau pour être plus efficace. Ne vous inquiétez pas, c'est très simple et vous pouvez toujours revenir en arrière si quelque chose ne vous plaît pas.";"";"[X]";"";"[X]";""
"txt_0021";"🎨 11. Créer une présentation fixe personnalisée";"🎨 11. Create a personalised fixed presentation";"";"🎨 11. Créer votre propre présentation personnalisée (comme un album photo sur mesure)

Ne vous inquiétez pas, c'est plus simple qu'il n'y paraît ! Une présentation fixe personnalisée, c'est comme créer un album photo spécial avec vos propres règles d'organisation. Au lieu d'utiliser les modèles tout prêts du logiciel, vous allez pouvoir choisir exactement quelles photos montrer et comment les disposer, comme si vous arrangiez des photos sur une table pour les présenter à un patient.";"";"[X]";"";"🎨 11. Créer une présentation fixe personnalisée

Configuration d'un template de présentation avec paramètres fixes : ratio d'aspect, résolution de sortie, profil colorimétrique et métadonnées DICOM préservées. Définition des zones de placement automatique, masques de calques et variables de template. Sauvegarde en format .kpf (Kitview Presentation Format) pour réutilisation batch. Possibilité d'export programmatique via API REST avec paramètres JSON personnalisés. Optimisation workflow : liaison directe avec base patients, auto-population des champs et génération PDF/DICOM-SR simultanée.";""
"txt_0022";"🎞️ 12. Diaporama";"🎞️ 12. Slide show";"";"[=]";"";"[X]";"";"[X]";""
"txt_0023";"🔍 13. Comparer des photos";"🔍 13. Comparing photos";"";"🔍 13. Comparer des photos côte à côte

Cette fonction vous permet de placer deux photos l'une à côté de l'autre pour mieux voir les différences - comme si vous posiez deux photos sur votre bureau pour les examiner ensemble. C'est très pratique pour comparer l'état des dents avant et après un traitement, ou pour suivre l'évolution au fil du temps. Ne vous inquiétez pas, c'est très simple à utiliser !";"";"[X]";"";"[X]";""
"txt_0024";"✉️ 14. Modèles de courrier";"✉️ 14. Letter templates";"";"[=]";"";"[X]";"";"[X]";""
"txt_0025";"📊 15. Portfolio et présentation PowerPoint";"📊 15. Portfolio and PowerPoint presentation";"";"📊 15. Créer un album de présentation et un diaporama PowerPoint

Cette fonction vous permet de créer facilement un beau livre photo numérique de vos patients (comme un album photo professionnel) et de préparer des présentations PowerPoint pour montrer les résultats de vos traitements. Ne vous inquiétez pas, c'est plus simple qu'il n'y paraît - le logiciel fait la plupart du travail pour vous !";"";"[X]";"";"[X]";""
"txt_0026";"🔍 16. Filtre de population";"🔍 16. Population filter";"";"🔍 16. Trier vos patients

Cette fonction vous permet de filtrer et organiser votre liste de patients, comme si vous regardiez dans un classeur pour trouver certains dossiers spécifiques. Par exemple, vous pouvez afficher seulement les enfants, ou seulement les patients qui ont commencé leur traitement cette année. C'est très pratique pour retrouver rapidement les patients qui vous intéressent !";"";"[X]";"";"[X]";""
"txt_0027";"📅 17. Retrouver des photos par date";"📅 17. Find photos by date";"";"📅 17. Retrouver des photos par date

Ne vous inquiétez pas, retrouver vos photos par date dans Kitview est très simple ! C'est comme chercher dans un agenda ou un calendrier.

**Pourquoi c'est utile ?**
Parfois, vous vous souvenez qu'un patient est venu ""la semaine dernière"" ou ""en début de mois"", mais vous ne vous rappelez plus de son nom. Pas de panique !

**Comment faire étape par étape :**
1. Cherchez l'icône de calendrier 📅 dans Kitview
2. Cliquez dessus - une fenêtre s'ouvrira comme un calendrier normal
3. Naviguez jusqu'à la date qui vous intéresse (comme sur votre smartphone)
4. Cliquez sur le jour - toutes les photos prises ce jour-là s'afficheront

**Astuce de débutant :** Vous pouvez aussi regarder par semaine ou par mois entier si vous n'êtes pas sûr du jour exact. C'est comme feuilleter un album photo chronologique !

Cette fonction est parfaite quand vous savez ""quand"" mais pas ""qui"" ou ""quoi"".";"";"[X]";"";"📅 17. Recherche par métadonnées temporelles

Exploitation des timestamps EXIF et index de base de données pour requêtes chronologiques avancées :
- Filtres combinés : plages temporelles + critères patient/traitement
- Requêtes SQL directes sur champs datetime pour datasets volumineux
- Export par lots basé sur intervalles de dates (formats DICOM, JPEG avec préservation métadonnées)
- Configuration des patterns de recherche dans kitview.config
- Automatisation via scripts batch pour archivage périodique par tranches temporelles";""
"txt_0028";"📝 18. Formulaires";"📝 18. Forms";"";"[=]";"";"[X]";"";"[X]";""
"txt_0029";"🎓 19. Support de formation";"🎓 19. Training material";"";"🎓 19. Aide pour apprendre à utiliser le logiciel

Ne vous inquiétez pas, nous avons préparé des guides simples pour vous accompagner ! Comme quand vous apprenez à conduire avec un moniteur, ces supports vous expliquent étape par étape comment utiliser Kitview. Vous y trouverez des explications claires avec des images pour vous aider à bien démarrer.";"";"[X]";"";"[X]";""
"txt_0030";"Créer un nouveau patient";"Create a new patient";"";"Comment ajouter un nouveau patient dans votre logiciel

Ne vous inquiétez pas, ajouter un nouveau patient est très simple ! C'est comme créer une nouvelle fiche dans un classeur médical traditionnel.

Voici comment procéder étape par étape :
1. Cherchez le bouton ""Nouveau patient"" ou l'icône ""+"" sur votre écran principal
2. Cliquez dessus - une nouvelle fenêtre va s'ouvrir
3. Remplissez les informations demandées (nom, prénom, date de naissance)
4. Sauvegardez en cliquant sur ""Enregistrer""

C'est tout ! Votre nouveau patient apparaîtra maintenant dans votre liste, prêt à recevoir ses photos orthodontiques.";"";"[X]";"";"Créer un nouveau patient - Importation batch supportée via CSV/XML. Configuration des champs personnalisés dans patient_config.xml. Auto-génération des identifiants selon pattern défini. Synchronisation DICOM optionnelle avec serveurs externes via API REST.";""
"txt_0031";"Supprimer une fiche patient";"Delete a patient record";"";"Comment supprimer une fiche patient (effacer définitivement un dossier)

Ne vous inquiétez pas, supprimer une fiche patient est une opération simple mais importante. Pensez à cela comme retirer définitivement un dossier de votre classeur : une fois supprimé, vous ne pourrez plus le récupérer.

**Attention :** Cette action est irréversible. Assurez-vous de vraiment vouloir supprimer ce patient avant de continuer.

Voici comment procéder étape par étape :
1. Trouvez d'abord la fiche du patient que vous souhaitez supprimer
2. Vérifiez bien que c'est le bon patient
3. Suivez les étapes de suppression (détaillées dans les sections suivantes)

Cette fonction est utile pour nettoyer votre base de données ou supprimer des fiches créées par erreur.";"";"[X]";"";"[X]";""
"txt_0032";"Photo d'identité";"Passport photo";"";"[=]";"";"[X]";"";"[X]";""
"txt_0033";"Onglets et style de présentation";"Tabs and presentation style";"";"Les onglets pour organiser vos photos

Ne vous inquiétez pas, c'est très simple ! Imaginez que vous avez un classeur avec des intercalaires - c'est exactement ce que sont les onglets dans Kitview. 

Chaque onglet vous permet d'organiser les photos de vos patients de manière différente, comme des sections dans votre classeur. Vous pouvez choisir comment présenter ces photos (grand format, petites vignettes, etc.) selon ce qui vous convient le mieux.

C'est comme choisir si vous voulez voir vos photos dans un grand album ou dans un carnet plus compact - tout dépend de ce que vous préférez pour travailler confortablement.";"";"[X]";"";"[X]";""
"txt_0034";"Couleurs du bureau";"Office colours";"";"[=]";"";"[X]";"";"[X]";""
"txt_0035";"Taille des vignettes";"Thumbnail size";"";"[=]";"";"[X]";"";"[X]";""
"txt_0036";"Importer des photos";"Import photos";"";"Comment ajouter des photos dans Kitview

Ne vous inquiétez pas, ajouter des photos de vos patients dans Kitview est très simple ! C'est comme transférer des photos de votre appareil photo dans un album photo numérique spécialement conçu pour les orthodontistes.

Voici comment procéder étape par étape :
1. Cliquez sur le bouton ""Importer des photos"" (il ressemble souvent à un petit dossier ou un signe +)
2. Sélectionnez les photos que vous souhaitez ajouter depuis votre ordinateur ou votre appareil photo
3. Le logiciel va automatiquement les ranger dans le dossier du bon patient

C'est aussi simple que cela ! Vos photos seront maintenant organisées et faciles à retrouver pour vos consultations.";"";"[X]";"";"[X]";""
"txt_0037";"Exporter des photos";"Exporting photos";"";"[=]";"";"[X]";"";"[X]";""
"txt_0038";"Glisser-déposer avancé";"Advanced drag & drop";"";"Comment déplacer vos photos facilement

Ne vous inquiétez pas, c'est très simple ! Imaginez que vous réorganisez des photos dans un album. Vous pouvez cliquer sur une photo avec votre souris, maintenir le bouton enfoncé, puis faire glisser la photo vers l'endroit où vous voulez la placer. Relâchez ensuite le bouton de la souris pour déposer la photo à sa nouvelle place. Cette méthode vous permet de classer vos photos d'orthodontie exactement comme vous le souhaitez, rapidement et facilement.";"";"[X]";"";"Glisser-déposer avancé - Gestion batch multi-formats (JPEG, TIFF, RAW), mapping automatique par métadonnées EXIF, règles de tri personnalisables via fichiers XML, intégration API pour workflows automatisés, support drag&drop multi-sélection avec prévisualisation temps réel et validation format avant import.";""
"txt_0039";"Protocole de séance";"Session protocol";"";"Guide pour organiser vos séances photo

Ne vous inquiétez pas, organiser vos séances photo avec Kitview est aussi simple que suivre une recette de cuisine ! Nous allons vous expliquer étape par étape comment bien préparer et dérouler chaque rendez-vous avec vos patients pour prendre les meilleures photos possibles.

Pensez à cela comme à un mode d'emploi qui vous accompagne à chaque séance photo.";"";"[X]";"";"[X]";""
"txt_0040";"Acquisition WiFi";"WiFi acquisition";"";"Prendre des photos sans fil

Cette fonction vous permet de prendre des photos de vos patients et de les envoyer directement dans Kitview sans avoir besoin de câbles. C'est comme envoyer une photo par message, mais directement dans votre dossier patient. Ne vous inquiétez pas, c'est très simple à utiliser une fois configuré !";"";"[X]";"";"Acquisition WiFi - Configuration des protocoles de transfert automatisé (802.11ac/ax recommandé), paramétrage des endpoints API pour intégration directe depuis appareils photo intra-oraux, gestion des profils de compression JPEG (qualité 90-95% pour analyse orthodontique), batch processing automatique avec watchfolder monitoring, configuration DICOM optional pour interopérabilité.";""
"txt_0041";"Étape 1 : Créer le mot-clé dans le dictionnaire";"Step 1: Create the keyword in the dictionary";"";"Étape 1 : Créer votre nouveau mot-clé (comme ajouter un nouvel onglet dans un classeur)

Ne vous inquiétez pas, c'est très simple ! Vous allez d'abord créer un nouveau mot-clé dans la liste des mots disponibles. Pensez à cela comme si vous ajoutiez un nouvel onglet dans un classeur pour mieux organiser vos photos de patients.";"";"[X]";"";"Étape 1 : Créer le mot-clé dans le dictionnaire des métadonnées

Accédez au gestionnaire de taxonomie (Settings > Metadata Dictionary) pour définir les nouveaux termes d'indexation. Configurez les propriétés du mot-clé : type de données (string/enum), cardinalité, héritage hiérarchique et règles de validation. Pour l'automatisation, utilisez l'API REST /dictionary/keywords avec méthode POST ou importez via fichier JSON/XML depuis le répertoire /config/dictionaries/.";""
"txt_0042";"Étape 2 : Créer le gabarit";"Step 2: Create the template";"";"Étape 2 : Créer votre modèle de présentation

Ne vous inquiétez pas, créer un modèle (ou ""gabarit"") est comme préparer un album photo vide avec des emplacements prévus pour vos images. Ce modèle vous servira de base pour organiser toutes vos photos de patients de la même façon. C'est simple et vous ferez gagner beaucoup de temps par la suite !";"";"[X]";"";"[X]";""
"txt_0043";"Étape 3 : Créer le filtre (collection)";"Step 3: Create the filter (collection)";"";"Étape 3 : Créer votre dossier de photos (qu'on appelle ""filtre"" ou ""collection"")

Ne vous inquiétez pas, c'est comme créer un nouvel album photo ! Vous allez maintenant organiser vos photos de patients dans des dossiers pour les retrouver facilement plus tard.";"";"[X]";"";"[X]";""
"txt_0044";"Présentation des viewers";"Presentation of viewers";"";"Découverte des outils de visualisation

Les ""viewers"" sont comme des loupes spéciales pour regarder vos photos de patients. Ne vous inquiétez pas, c'est très simple à comprendre ! Imaginez que vous avez un album photo, et que ces viewers sont différents types de loupes qui vous permettent de voir vos photos sous tous les angles. Chaque viewer a sa propre fonction pour vous aider à mieux examiner les clichés orthodontiques de vos patients. Dans les sections suivantes, nous allons découvrir ensemble comment utiliser ces outils pas à pas.";"";"[X]";"";"[X]";""
"txt_0045";"Personnaliser les viewers";"Customise viewers";"";"Comment personnaliser l'affichage de vos photos

Ne vous inquiétez pas, personnaliser l'affichage de vos photos dans Kitview est très simple ! Pensez à cela comme régler votre écran de télévision pour qu'il vous convienne parfaitement.

Vous pouvez modifier la façon dont vos photos de patients s'affichent à l'écran : les rendre plus grandes ou plus petites, changer leur disposition, ou ajuster les couleurs pour mieux voir les détails. C'est comme réorganiser votre bureau pour travailler plus confortablement.

Cette fonction vous permet d'adapter le logiciel à votre façon de travailler, exactement comme vous arrangeriez votre cabinet selon vos préférences.";"";"[X]";"";"[X]";""
"txt_0046";"Ajouter des viewers";"Add viewers";"";"Comment ajouter de nouveaux utilisateurs pour consulter les photos

Ne vous inquiétez pas, c'est très simple ! Imaginez que vous voulez partager un album photo avec d'autres personnes de votre cabinet. Les ""viewers"" sont comme des invités que vous autorisez à regarder les photos de vos patients.

Voici comment faire étape par étape :
1. Cherchez le bouton ou menu ""Ajouter"" 
2. Sélectionnez ""Nouveau viewer"" ou ""Nouvel utilisateur""
3. Remplissez les informations demandées (nom, email)
4. Validez pour donner l'accès

Cette fonction vous permet de partager l'accès aux photos avec vos collègues ou assistants en toute sécurité.";"";"[X]";"";"[X]";""
"txt_0047";"Copier-coller une photo";"Copy and paste a photo";"";"[=]";"";"[X]";"";"[X]";""
"txt_0048";"Modifier la luminosité";"Changing the brightness";"";"[=]";"";"[X]";"";"Ajustement de luminosité - Paramètres gamma, courbes tonales et histogramme. Modification par valeurs numériques précises ou presets configurables. Options : correction automatique par analyse ROI, ajustement batch via scripts, sauvegarde des profils colorimétriques personnalisés dans les fichiers de configuration utilisateur.";""
"txt_0049";"Recadrer une photo";"Cropping a photo";"";"[=]";"";"[X]";"";"[X]";""
"txt_0050";"Accéder aux présentations";"Access to presentations";"";"[=]";"";"[X]";"";"[X]";""
"txt_0051";"Types de présentations disponibles";"Types of presentation available";"";"Les différents types d'affichage pour vos photos

Dans Kitview, vous pouvez choisir comment voir vos photos de patients, comme quand vous regardez des photos sur votre téléphone - vous pouvez les voir une par une, en grille, ou en diaporama. Ne vous inquiétez pas, c'est très simple à utiliser ! Nous allons voir ensemble toutes les façons d'afficher vos photos pour que vous puissiez choisir celle qui vous convient le mieux.";"";"[X]";"";"[X]";""
"txt_0052";"Activer le mode de personnalisation";"Activate customisation mode";"";"Passer en mode personnalisation

Pour modifier l'apparence de votre logiciel selon vos préférences, vous devez d'abord activer le mode personnalisation. C'est comme si vous prépariez votre bureau de travail - vous allez pouvoir déplacer et organiser les éléments à votre goût. Ne vous inquiétez pas, c'est très simple : cherchez le bouton ou l'option ""Personnalisation"" dans vos menus, puis cliquez dessus pour commencer.";"";"[X]";"";"Activation du mode de personnalisation avancée

Accès via paramètres système ou raccourci Ctrl+Alt+P. Déverrouille la modification des templates d'affichage, scripts d'automatisation des workflows, personnalisation des métadonnées EXIF/DICOM, et configuration des hooks d'événements. Permet l'édition directe des fichiers de configuration XML et l'intégration d'API tierces pour l'automatisation des tâches répétitives.";""
"txt_0053";"Actions disponibles";"Actions available";"";"[=]";"";"[X]";"";"[X]";""
"txt_0054";"Étapes de création";"Creation stages";"";"Comment créer votre projet étape par étape

Ne vous inquiétez pas, créer un nouveau projet dans Kitview est très simple ! Nous allons vous guider pas à pas, comme si vous créiez un nouvel album photo pour un patient. Suivez tranquillement chaque étape - prenez votre temps, il n'y a pas d'urgence.";"";"[X]";"";"[X]";""
"txt_0055";"Ajouter des vignettes à la présentation";"Add thumbnails to the presentation";"";"Ajouter des petites images (vignettes) dans votre présentation

Ne vous inquiétez pas, c'est très simple ! Les vignettes sont comme de petites photos miniatures que vous pouvez insérer dans votre présentation pour la rendre plus visuelle. Pensez à cela comme si vous colliez de petites photos dans un album pour illustrer votre histoire. Ces petites images aident vos patients à mieux comprendre leur traitement orthodontique.";"";"[X]";"";"Insertion de thumbnails dans la présentation - Drag & drop depuis l'explorateur de cas ou import par lot via Ctrl+Shift+I. Configuration des dimensions dans settings.xml (thumb_width, thumb_height, compression_ratio). Génération automatique des vignettes avec préservation des métadonnées EXIF. Options avancées : redimensionnement batch via API REST, templates de grille personnalisables, et synchronisation auto avec base de données patient.";""
"txt_0056";"Lancer un diaporama";"Launch a slideshow";"";"[=]";"";"[X]";"";"[X]";""
"txt_0057";"Comparer deux photos (mode 2 Vues)";"Comparing two photos (2 views mode)";"";"Regarder deux photos côte à côte pour les comparer

Ne vous inquiétez pas, c'est très simple ! Imaginez que vous placez deux photos sur votre bureau pour les examiner en même temps. C'est exactement ce que fait cette fonction : elle vous montre deux photos du même patient l'une à côté de l'autre sur votre écran. Cela vous permet de voir facilement les différences et l'évolution du traitement entre deux moments différents.";"";"Comparaison en mode 2 Vues

**Points clés pour optimiser vos comparaisons :**

• **Raccourci rapide** : Double-clic sur une photo + maintenir Ctrl pour ouvrir directement le mode comparaison avec la photo suivante

• **Synchronisation des vues** : Le zoom et les rotations s'appliquent automatiquement aux deux photos - utilisez la molette pour ajuster simultanément

• **Cas particuliers** :
  - Photos de formats différents : l'alignement se fait automatiquement sur le centre
  - Prises de vue avec angles variables : utilisez l'outil de rotation fine (clic droit) pour un alignement optimal

• **Efficacité** : Sauvegardez vos réglages de comparaison favoris (luminosité, contraste, zoom) via le menu contextuel pour les réappliquer rapidement

• **Astuce pro** : Activez l'overlay de grille (touche G) pour évaluer précisément les déplacements dentaires entre deux rendez-vous";"";"Comparaison bi-vue : Mode split-screen avec synchronisation du zoom et pan. Utilise Ctrl+molette pour zoom unifié, Shift+clic pour calibrage des points de référence anatomiques. Compatible formats DICOM, JPEG2000, RAW. Exportable en overlay différentiel ou grille de superposition pour analyse céphalométrique. Configuration des ratios d'affichage dans kitview.conf, section [compare_mode].";""
"txt_0058";"Comparateur en colonne ou ligne";"Column or line comparator";"";"Comparateur en colonne ou ligne : choisissez comment organiser vos photos

Ne vous inquiétez pas, c'est très simple ! Imaginez que vous voulez comparer deux photos de votre patient, comme avant et après le traitement. Vous pouvez les disposer de deux façons :

- **En colonne** : les photos sont placées l'une au-dessus de l'autre (comme des étages dans un immeuble)
- **En ligne** : les photos sont placées côte à côte (comme des livres sur une étagère)

Choisissez simplement la disposition qui vous permet de mieux voir les différences entre vos photos !";"";"[X]";"";"[X]";""
"txt_0059";"Comparateur par séances protocole";"Protocol session comparator";"";"Comparer les photos entre différents rendez-vous

Cette fonction vous permet de voir l'évolution du traitement de votre patient, comme si vous feuilletiez un album photo chronologique. Vous pouvez facilement comparer les photos prises lors de différents rendez-vous pour observer les progrès du traitement orthodontique. C'est très utile pour suivre l'évolution et montrer les résultats au patient.";"";"[X]";"";"[X]";""
"txt_0060";"Utiliser un modèle existant";"Use an existing model";"";"Utiliser un modèle déjà créé

Ne vous inquiétez pas, c'est très simple ! Un modèle, c'est comme un patron de couture ou un moule à gâteau : quelqu'un l'a déjà préparé pour vous. Au lieu de tout recommencer depuis le début, vous pouvez utiliser un modèle qui existe déjà dans le logiciel. C'est un gain de temps énorme ! Il vous suffit de le sélectionner et de l'adapter à vos besoins.";"";"[X]";"";"Sélection et instanciation d'un template orthodontique pré-configuré - paramètres DICOM préservés, variables de champs personnalisés héritées, possibilité de modification des scripts d'export automatique et adaptation des workflows de capture selon les spécifications du cabinet.";""
"txt_0061";"Créer un nouveau modèle de courrier";"Create a new letter template";"";"Comment créer un nouveau modèle de courrier - comme préparer un modèle de lettre

Ne vous inquiétez pas, créer un modèle de courrier, c'est comme préparer un modèle de lettre que vous pourrez réutiliser pour tous vos patients. C'est très pratique !

Imaginez que vous écrivez souvent le même type de lettre (par exemple, pour expliquer un traitement). Au lieu de tout réécrire à chaque fois, vous allez créer un ""modèle"" - comme un canevas - que vous pourrez simplement personnaliser avec le nom de chaque patient.

Voici comment faire, étape par étape :
1. Réfléchissez d'abord au type de lettre dont vous avez besoin
2. Préparez le texte de base qui sera identique pour tous
3. Marquez les endroits où vous devrez changer les informations (nom du patient, dates, etc.)

C'est simple et cela vous fera gagner beaucoup de temps !";"";"Créer un nouveau modèle de courrier

**Points clés pour optimiser votre workflow :**

• **Accès rapide** : Ctrl+Shift+M depuis n'importe quelle vue patient pour créer directement un modèle
• **Structure recommandée** : Intégrez dès la création les variables patients les plus utilisées ({nom}, {prénom}, {date_rdv})
• **Formatage avancé** : Utilisez les styles prédéfinis pour maintenir la cohérence visuelle avec vos autres courriers

**Cas particuliers à anticiper :**
- Pour les courriers multi-praticiens : configurez les champs {praticien} et {signature} comme variables
- Modèles avec images : préférez les logos en format vectoriel pour un rendu optimal à l'impression
- Courriers de suivi : pensez aux variables conditionnelles pour adapter le contenu selon la phase de traitement

**Astuce efficacité** : Dupliquez un modèle existant similaire plutôt que de repartir de zéro - cela préserve la mise en forme et les variables déjà configurées.";"";"Création d'un template de courrier : utilisez l'éditeur RTF intégré ou importez vos modèles .docx existants. Configurez les variables dynamiques {patient.nom}, {praticien.titre} dans le fichier templates.xml. Paramétrez l'auto-merge avec les données DICOM via l'API REST /templates/{id}/generate. Optimisez le workflow en créant des modèles conditionnels basés sur les métadonnées de traitement (phase thérapeutique, type d'appareil). Export batch disponible via script PowerShell fourni dans /tools/batch-export.ps1.";""
"txt_0062";"Exemple : Toutes les intrabuccales de tous les patients";"Example: All intra-oral scans of all patients";"";"[=]";"";"[X]";"";"Exemple : Ensemble des clichés intrabuccaux (JPEG/DICOM) de la base patients avec filtrage par métadonnées EXIF, tags personnalisés ou requêtes SQL directes sur l'index photographique";""
"txt_0063";"Exemple : Afficher toutes les radios panoramiques";"Example: Display all panoramic X-rays";"";"Exemple : Comment voir toutes vos radios panoramiques en un coup d'œil

Imaginez que vous voulez retrouver toutes les grandes photos des mâchoires de vos patients (les radios panoramiques) rangées dans votre ""album photo numérique"". C'est comme si vous ouvriez un classeur spécialement dédié à ce type d'images. Ne vous inquiétez pas, c'est très simple à faire dans Kitview !";"";"[X]";"";"Filtrage des radiographies panoramiques : utilisez le filtre DICOM ""Modality=PX"" ou la requête SQL directe sur le champ image_type. Configurez un raccourci clavier dans kitview.config pour un accès rapide. L'API REST permet l'automatisation via GET /images?type=panoramic&format=dcm. Optimisation : indexez les métadonnées EXIF pour des performances de recherche améliorées sur de gros volumes.";""
"txt_0064";"Recherche à une date précise";"Search for a specific date";"";"Chercher des photos prises à une date précise

Vous voulez retrouver toutes les photos prises un jour particulier ? C'est très simple ! Imaginez que vous cherchez dans un album photo classique : au lieu de tourner toutes les pages, Kitview va directement vous montrer les photos du jour qui vous intéresse.

Par exemple, si vous voulez voir toutes les photos prises le 15 mars, il suffit de sélectionner cette date et le logiciel affichera uniquement ces photos. C'est comme avoir un assistant qui trie automatiquement vos photos par date !";"";"[X]";"";"[X]";""
"txt_0065";"Recherche dans une plage de dates";"Search within a date range";"";"Comment chercher des photos prises entre deux dates précises

Ne vous inquiétez pas, c'est très simple ! Imaginez que vous cherchez des photos dans un album photo géant. Au lieu de tourner toutes les pages, vous pouvez dire ""je veux voir seulement les photos prises entre le 1er janvier et le 31 mars"".

Voici comment faire étape par étape :
1. Cliquez sur l'outil de recherche (comme une loupe)
2. Choisissez la date de début (par exemple : 1er janvier 2024)
3. Choisissez la date de fin (par exemple : 31 mars 2024)
4. Cliquez sur ""Rechercher""

Le logiciel va alors vous montrer uniquement les photos de vos patients prises pendant cette période, comme si vous sortiez seulement les bonnes pages de votre classeur !";"";"**Recherche dans une plage de dates**

**Points clés pour optimiser vos recherches temporelles :**

• **Raccourci rapide** : Double-clic sur le champ date pour ouvrir directement le calendrier
• **Plages prédéfinies** : Utilisez les boutons ""Cette semaine"", ""Ce mois"", ""Trimestre"" pour gagner du temps
• **Astuce d'efficacité** : La recherche se lance automatiquement après sélection de la date de fin

**Cas particuliers à retenir :**
- Les photos sans date EXIF n'apparaîtront que si vous cochez ""Inclure dates manquantes""
- Pour les patients avec suivi long : préférez plusieurs recherches courtes plutôt qu'une plage très large (performances optimisées)
- La recherche inclut automatiquement les heures (00:00 à 23:59 des dates sélectionnées)

**Combinaisons utiles** : Associez avec les filtres par type de vue ou statut de traitement pour des résultats plus précis.";"";"[X]";""
"txt_0066";"Compléter un formulaire";"Fill in a form";"";"[=]";"";"[X]";"";"[X]";""
