oripathologie;commentaire;auteur;fr;cn;ar;th;ro;pl;pt;ja;it;es;de;en;
atm;Évaluez les dysfonctions articulaires pour optimiser le plan de traitement orthodontique.;gpt4o;Évaluez les dysfonctions articulaires pour optimiser le plan de traitement orthodontique.;评估关节功能障碍，优化正畸治疗方案。;تقييم اختلالات المفاصل لتحسين خطة علاج تقويم الأسنان.;ประเมินการทำงานร่วมกันของข้อต่อเพื่อเพิ่มประสิทธิภาพแผนการรักษาทางทันตกรรมจัดฟัน;Evaluarea disfuncțiilor articulare pentru optimizarea planului de tratament ortodontic.;Ocena dysfunkcji stawów w celu optymalizacji planu leczenia ortodontycznego.;Avaliar as disfunções articulares para otimizar o plano de tratamento ortodôntico.;矯正治療計画を最適化するために、関節機能障害を評価する。;Valutare le disfunzioni articolari per ottimizzare il piano di trattamento ortodontico.;Evaluar las disfunciones articulares para optimizar el plan de tratamiento ortodóncico.;Beurteilen Sie Gelenkdysfunktionen, um den kieferorthopädischen Behandlungsplan zu optimieren.;Évaluez the dysfonctions articulaires for optimiser the plan of traitement orthodontique.;
avulsion;Considérer l'avulsion lors de l'éruption ectopique sévère des canines maxillaires.;gpt4o;Considérer l'avulsion lors de l'éruption ectopique sévère des canines maxillaires.;对于上颌犬齿严重异位萌出的病例，可考虑拔除。;النظر في القلع في حالات البزوغ الخارجي الشديد للأنياب الفكية العلوية.;พิจารณาการฉีกขาดในกรณีที่มีการงอกผิดตำแหน่งอย่างรุนแรงของฟันเขี้ยวบน;Luați în considerare avulsia în cazurile de erupție ectopică severă a caninilor maxilari.;W przypadku ciężkiego ektopowego wyrzynania się kłów szczęki należy rozważyć ich wyrwanie.;Considerar a avulsão em casos de erupção ectópica grave dos caninos superiores.;上顎犬歯の重度の異所性萌出症例では剥離を考慮する。;Considerare l'avulsione nei casi di grave eruzione ectopica dei canini mascellari.;Considerar la avulsión en casos de erupción ectópica severa de caninos maxilares.;Erwägung einer Avulsion bei schwerem ektopischem Durchbruch der oberen Eckzähne.;Considérer l'avulsion lors of l'rash ectopique severe some canines maxilla.;
avulsion différée immédiate programmée totale;Planifiez un suivi post-avulsion pour surveiller la cicatrisation et l'alignement.;gpt4o;Planifiez un suivi post-avulsion pour surveiller la cicatrisation et l'alignement.;计划抽吸后的随访，以监测愈合和对齐情况。;خطط لمتابعة ما بعد الاختلاج لمراقبة الشفاء والمحاذاة.;นัดหมายการติดตามผลหลังการถอนฟันเพื่อเฝ้าระวังการหายและการเรียงตัว;Planificați o urmărire post-avulsie pentru a monitoriza vindecarea și alinierea.;Zaplanuj obserwację po wstrząśnieniu mózgu w celu monitorowania gojenia i wyrównania.;Planear um acompanhamento pós-avulsão para monitorizar a cicatrização e o alinhamento.;治癒とアライメントをモニターするために、脱臼後のフォローアップを計画する。;Pianificare un follow-up post-avulsione per monitorare la guarigione e l'allineamento.;Planifique un seguimiento posterior a la clavícula para controlar la cicatrización y la alineación.;Planen Sie eine Nachuntersuchung nach der Avulsion, um die Wundheilung und die Ausrichtung zu überwachen.;Planifiez a follow-up post-avulsion for monitor the cicatrisation and l'alignment.;
aéro;L'aérophagie peut influencer l'occlusion. vérifier la respiration buccale.;gpt4o;L'aérophagie peut influencer l'occlusion. vérifier la respiration buccale.;检查口呼吸。;يمكن أن يؤثر البلعوم الهوائي على الانسداد. تحقق من التنفس عن طريق الفم.;การกลืนอากาศอาจส่งผลต่อการอุดกั้น ตรวจสอบการหายใจทางปาก;Aerofagia poate influența ocluzia. Verificați respirația bucală.;Aerofagia może wpływać na okluzję. Sprawdź oddychanie przez usta.;A aerofagia pode influenciar a oclusão. Verificar a respiração bucal.;口呼吸を確認する。;L'aerofagia può influenzare l'occlusione. Controllare la respirazione con la bocca.;La aerofagia puede influir en la oclusión. Comprobar la respiración bucal.;Aerophagie kann die Okklusion beeinflussen. Überprüfen Sie die Mundatmung.;L'aérophagie peut influencer l'occlusion. vérifier the mouth breathing.;
bagues;Assurez-vous de vérifier le serrage et l'alignement des brackets lors des contrôles réguliers.;gpt4o;Assurez-vous de vérifier le serrage et l'alignement des brackets lors des contrôles réguliers.;确保定期检查支架的紧固和对齐情况。;تأكد من فحص الأقواس للتأكد من إحكامها ومحاذاتها على فترات منتظمة.;โปรดตรวจสอบความแน่นและความตรงของตัวยึดในระหว่างการตรวจสอบตามปกติ;Asigurați-vă că verificați strângerea și alinierea suporturilor la intervale regulate.;Upewnij się, że w regularnych odstępach czasu sprawdzasz dokręcenie i wyrównanie wsporników.;Certifique-se de que verifica o aperto e o alinhamento dos suportes em intervalos regulares.;定期的にブラケットの締め付けとアライメントを確認してください。;Assicuratevi di controllare il serraggio e l'allineamento delle staffe a intervalli regolari.;Asegúrate de comprobar el apriete y la alineación de los soportes en las revisiones periódicas.;Achten Sie bei regelmäßigen Kontrollen darauf, dass die Brackets fest angezogen und ausgerichtet sind.;Assurez-vous of vérifier the serrage and l'alignment some brackets lors some contrôles réguliers.;
bielles;Les bielles corrigent la classe II en avançant la mandibule, favorisent la croissance.;gpt4o;Les bielles corrigent la classe II en avançant la mandibule, favorisent la croissance.;连杆通过推进下颌骨和促进生长来矫正 II 类牙。;تقوم قضبان التوصيل بتصحيح الفئة الثانية عن طريق دفع الفك السفلي وتعزيز النمو.;แท่งโลหะช่วยแก้ไขความผิดปกติของฟันประเภทที่สองโดยการเลื่อนขากรรไกรล่างไปข้างหน้า ส่งเสริมการเจริญเติบโต;Baghetele de conectare corectează clasa II prin avansarea mandibulei și promovarea creșterii.;Łączniki korygują klasę II poprzez wysunięcie żuchwy do przodu i promowanie wzrostu.;As barras de ligação corrigem a Classe II avançando a mandíbula e promovendo o crescimento.;コネクティングロッドは、下顎を前進させ成長を促進することにより、II級を矯正する。;Le barre di collegamento correggono la Classe II facendo avanzare la mandibola e promuovendo la crescita.;Las barras de conexión corrigen la Clase II avanzando la mandíbula y promoviendo el crecimiento.;Pleuel korrigieren Klasse II durch Vorverlagerung des Unterkiefers, fördern das Wachstum.;the connecting rods corrigent the class ii en avançant the mandibule, favorisent the growth.;
bipro;Corriger la biprotrusion avec extraction pour améliorer l'occlusion et l'esthétique.;gpt4o;Corriger la biprotrusion avec extraction pour améliorer l'occlusion et l'esthétique.;通过拔牙矫正双颌前突，改善咬合和美观。;تصحيح النتوء الثنائي مع الاستخراج لتحسين الانسداد والتجميل.;แก้ไขการยื่นของฟันทั้งสองด้านด้วยการถอนฟันเพื่อปรับปรุงการสบฟันและความสวยงาม;Corectați biprotrusion cu extracție pentru a îmbunătăți ocluzia și estetica.;Skoryguj biprotruzję za pomocą ekstrakcji, aby poprawić okluzję i estetykę.;Corrigir a biprotrusão com extração para melhorar a oclusão e a estética.;咬合と審美性を改善するために、抜歯で両突起を矯正する。;Correggere la biprotrusione con l'estrazione per migliorare l'occlusione e l'estetica.;Corregir la biprotrusión con extracción para mejorar la oclusión y la estética.;Korrektur der Biprotrusion mit Extraktion zur Verbesserung der Okklusion und der Ästhetik.;Corriger the biprotrusion with extraction for améliorer l'occlusion and l'aesthetics.;
bruxisme;Surveillance occlusale et gouttière recommandées pour prévenir l'usure dentaire.;gpt4o;Surveillance occlusale et gouttière recommandées pour prévenir l'usure dentaire.;建议使用咬合监测和夹板来防止牙齿磨损。;مراقبة الأسنان والجبائر الموصى بها لمنع تآكل الأسنان.;แนะนำให้เฝ้าระวังการสบฟันและใช้ที่ครอบฟันเพื่อป้องกันการสึกของฟัน;Monitorizare ocluzală și atele recomandate pentru a preveni uzura dinților.;Monitorowanie okluzji i szyny zalecane w celu zapobiegania zużyciu zębów.;Monitorização oclusal e talas recomendadas para evitar o desgaste dentário.;歯の摩耗を防ぐため、咬合モニタリングとスプリントを推奨。;Monitoraggio occlusale e bite consigliati per prevenire l'usura dei denti.;Control oclusal y férulas recomendadas para evitar el desgaste dental.;Okklusale Überwachung und Aufbissschiene zur Vermeidung von Zahnabnutzung empfohlen.;Surveillance occlusale and gutter recommandées for prévenir l'tooth wear.;
bruxisme diurne;Surveillez l'usure dentaire. envisagez une gouttière occlusale pour protection.;gpt4o;Surveillez l'usure dentaire. envisagez une gouttière occlusale pour protection.;监测牙齿磨损情况，考虑使用咬合夹板进行保护。;راقب تآكل الأسنان. ضع في اعتبارك جبيرة الإطباق للحماية.;ติดตามการสึกของฟัน พิจารณาใช้เฝือกสบฟันเพื่อป้องกัน;Monitorizați uzura dinților. Luați în considerare o atelă ocluzală pentru protecție.;Monitoruj zużycie zębów. Rozważ szynę okluzyjną dla ochrony.;Monitorizar o desgaste dos dentes. Considerar uma tala oclusal para proteção.;歯の摩耗を観察し、咬合スプリントによる保護を検討する。;Monitorare l'usura dei denti. Considerare una stecca occlusale come protezione.;Vigile el desgaste de los dientes. Considere la posibilidad de utilizar una férula oclusal como protección.;Achten Sie auf Zahnabnutzung. Ziehen Sie eine okklusale Schiene zum Schutz in Betracht.;Surveillez l'tooth wear. envisagez a gutter occlusale for protection.;
bruxisme diurne sévère;Surveillez l'usure dentaire, envisagez une gouttière occlusale.;gpt4o;Surveillez l'usure dentaire, envisagez une gouttière occlusale.;监测牙齿磨损情况，考虑使用咬合夹板。;راقب تآكل الأسنان، ضع في اعتبارك جبيرة الإطباق.;เฝ้าระวังการสึกของฟันและพิจารณาการใช้เฝือกสบฟัน;Monitorizați uzura dinților, luați în considerare o atelă ocluzală.;Monitoruj zużycie zębów, rozważ szynę okluzyjną.;Monitorizar o desgaste dos dentes, considerar uma tala oclusal.;歯の摩耗を観察し、咬合スプリントを検討する。;Monitorare l'usura dei denti, considerare un bite occlusale.;Vigilar el desgaste dental, considerar una férula oclusal.;Achten Sie auf Zahnabnutzung, ziehen Sie eine okklusale Schiene in Betracht.;Surveillez l'tooth wear, envisagez a gutter occlusale.;
bruxisme modéré;Surveille l'usure dentaire. envisage une gouttière occlusale pour protection.;gpt4o;Surveille l'usure dentaire. envisage une gouttière occlusale pour protection.;监测牙齿磨损情况，考虑使用咬合夹板进行保护。;راقب تآكل الأسنان. ضع في اعتبارك جبيرة إطباق الأسنان للحماية.;ติดตามการสึกของฟัน พิจารณาใช้เฝือกสบฟันเพื่อป้องกัน;Monitorizați uzura dinților. Luați în considerare o atelă ocluzală pentru protecție.;Monitoruj zużycie zębów. Rozważ szynę okluzyjną dla ochrony.;Monitorizar o desgaste dos dentes. Considerar uma tala oclusal para proteção.;歯の摩耗を観察し、咬合スプリントによる保護を考慮する。;Monitorare l'usura dei denti. Considerare una stecca occlusale come protezione.;Vigile el desgaste de los dientes. Considere la posibilidad de utilizar una férula oclusal como protección.;Überwacht die Zahnabnutzung. Zieht zum Schutz eine Okklusalschiene in Betracht.;Surveille l'tooth wear. envisage a gutter occlusale for protection.;
bruxisme modéré nocturne;Surveillez l'usure dentaire, envisagez une gouttière occlusale nocturne.;gpt4o;Surveillez l'usure dentaire, envisagez une gouttière occlusale nocturne.;监测牙齿磨损情况，并考虑使用夜间咬合夹板。;راقب تآكل الأسنان وفكر في استخدام جبيرة الإطباق الليلي.;ติดตามการสึกของฟันและพิจารณาใช้ที่ครอบฟันในเวลากลางคืน;Monitorizați uzura dinților și luați în considerare o atelă ocluzală de noapte.;Monitoruj zużycie zębów i rozważ stosowanie szyny zgryzowej na noc.;Monitorizar o desgaste dos dentes e considerar uma tala oclusal nocturna.;歯の摩耗を観察し、夜間の咬合スプリントを検討する。;Monitorare l'usura dei denti e prendere in considerazione un bite occlusale notturno.;Controle el desgaste dental y considere la posibilidad de utilizar una férula oclusal nocturna.;Achten Sie auf Zahnabnutzung, ziehen Sie eine okklusale Nachtschiene in Betracht.;Surveillez l'tooth wear, envisagez a gutter occlusale night.;
bruxisme nocturne;Évaluer l'usure dentaire, envisager une gouttière pour prévenir les dommages.;gpt4o;Évaluer l'usure dentaire, envisager une gouttière pour prévenir les dommages.;评估牙齿磨损情况，考虑使用口罩以防止损坏。;تقييم مدى تآكل الأسنان، والنظر في وضع مبضع للفم لمنع التلف.;ประเมินการสึกของฟัน พิจารณาใช้ที่ครอบฟันเพื่อป้องกันการเสียหาย;Evaluați uzura dinților, luați în considerare o piesă bucală pentru a preveni deteriorarea.;Oceń zużycie zębów, rozważ zastosowanie ustnika, aby zapobiec uszkodzeniom.;Avaliar o desgaste dos dentes, considerar uma proteção bucal para evitar danos.;歯の摩耗を評価し、損傷を防ぐマウスピースを検討する。;Valutare l'usura dei denti, considerare un boccaglio per evitare danni.;Evaluar el desgaste de los dientes, considerar un protector bucal para evitar daños.;Beurteilen Sie die Zahnabnutzung, ziehen Sie eine Aufbissschiene in Betracht, um Schäden zu verhindern.;Évaluer l'tooth wear, envisager a gutter for prévenir the dommages.;
bruxisme nocturne sévère;Surveillez l'usure dentaire. recommandez une gouttière occlusale pour protection.;gpt4o;Surveillez l'usure dentaire. recommandez une gouttière occlusale pour protection.;监测牙齿磨损情况，建议使用咬合夹板进行保护。;مراقبة تآكل الأسنان. التوصية بجبيرة إطباق الأسنان للحماية.;เฝ้าระวังการสึกของฟัน แนะนำการใช้เฝือกสบฟันเพื่อป้องกัน;Monitorizați uzura dinților. Recomandați o atelă ocluzală pentru protecție.;Monitoruj zużycie zębów i zalecaj stosowanie szyny okluzyjnej w celu ich ochrony.;Monitorizar o desgaste dos dentes e recomendar uma tala oclusal para proteção.;歯の摩耗をモニターし、保護のために咬合スプリントを勧める。;Monitorare l'usura dei denti e consigliare un bite occlusale di protezione.;Controlar el desgaste de los dientes. Recomendar una férula oclusal como protección.;Beobachten Sie die Zahnabnutzung. Empfehlen Sie eine Okklusalschiene zum Schutz.;Surveillez l'tooth wear. recommandez a gutter occlusale for protection.;
bruxisme sévère;Surveiller l'usure dentaire, envisager une gouttière occlusale nocturne.;gpt4o;Surveiller l'usure dentaire, envisager une gouttière occlusale nocturne.;监测牙齿磨损情况，考虑使用夜间咬合夹板。;راقب تآكل الأسنان، ضع في اعتبارك جبيرة إطباق الأسنان الليلية.;เฝ้าระวังการสึกของฟันและพิจารณาใช้เฝือกสบฟันในเวลากลางคืน;Monitorizați uzura dinților, luați în considerare o atelă ocluzală de noapte.;Monitoruj zużycie zębów, rozważ stosowanie szyny zgryzowej na noc.;Monitorizar o desgaste dos dentes, considerar uma tala oclusal nocturna.;歯の摩耗を観察し、夜間の咬合スプリントを検討する。;Monitorare l'usura dei denti, considerare un bite occlusale notturno.;Vigilar el desgaste dental, considerar una férula oclusal nocturna.;Auf Zahnabnutzung achten, eine nächtliche Okklusionsschiene in Betracht ziehen.;monitor l'tooth wear, envisager a gutter occlusale night.;
béance;Évaluer l'interférence linguale et envisager la contention ou la rééducation oro-faciale.;gpt4o;Évaluer l'interférence linguale et envisager la contention ou la rééducation oro-faciale.;评估语言干扰，并考虑限制或口腔再教育。;تقييم التداخلات اللسانية والنظر في التقييد أو إعادة التثقيف اللساني أو إعادة التثقيف الوجهي.;ประเมินการรบกวนทางลิ้นและพิจารณาการรักษาหรือการฝึกอบรมการเคลื่อนไหวของปากและใบหน้าใหม่;Evaluați interferența linguală și luați în considerare imobilizarea sau reeducarea orofacială.;Ocena interferencji językowej i rozważenie ograniczenia lub reedukacji orofacjalnej.;Avaliar a interferência lingual e considerar a possibilidade de contenção ou reeducação orofacial.;舌の干渉を評価し、抑制または口腔再教育を検討する。;Valutare l'interferenza linguale e prendere in considerazione la contenzione o la rieducazione orofacciale.;Evaluar la interferencia lingual y considerar la restricción o la reeducación orofacial.;Beurteilen Sie die linguale Interferenz und ziehen Sie eine Schienung oder eine orofaziale Rehabilitation in Betracht.;Évaluer l'interférence linguale and envisager the restraint or the rééducation oro-faciale.;
béance antérieure;Surveillance de la fonction linguale et contrôle des habitudes de succion.;gpt4o;Surveillance de la fonction linguale et contrôle des habitudes de succion.;监测舌功能和吸吮习惯;مراقبة وظيفة اللسان وعادات المص.;การติดตามการทำงานของลิ้นและการควบคุมพฤติกรรมการดูด;Monitorizarea funcției linguale și a obiceiurilor de supt.;Monitorowanie funkcji językowych i nawyków ssania.;Monitorização da função lingual e dos hábitos de sucção.;舌機能と吸啜癖のモニタリング。;Monitoraggio della funzione linguale e delle abitudini di suzione.;Control de la función lingual y de los hábitos de succión.;Überwachung der Zungenfunktion und Kontrolle der Lutschgewohnheiten.;Surveillance of the fonction linguale and control some habitudes of suction.;
béance antérieure droite latérale sévère;Considérer l'utilisation d'élastiques intermaxillaires pour corriger la béance.;gpt4o;Considérer l'utilisation d'élastiques intermaxillaires pour corriger la béance.;考虑使用颌间整形器来矫正间隙。;فكر في استخدام الأشرطة المطاطية بين الفكين لتصحيح الفجوة.;พิจารณาใช้ยางดึงระหว่างขากรรไกรเพื่อแก้ไขการสบฟันเปิด;Luați în considerare utilizarea elasticii intermaxilare pentru a corecta decalajul.;Rozważ zastosowanie gumek międzyszczękowych w celu skorygowania luki.;Considerar a utilização de elásticos intermaxilares para corrigir a lacuna.;顎間エラスチックを使用して、隙間を矯正することを検討する。;Considerare l'utilizzo di elastici intermascellari per correggere il gap.;Considere el uso de elásticos intermaxilares para corregir la brecha.;Erwägen Sie die Verwendung von intermaxillären Gummibändern, um den Biss zu korrigieren.;Considérer l'utilisation d'intermaxillary elastics for corriger the hollowness.;
béance antérieure gauche latérale sévère;Évaluer l'occlusion, envisager un traitement multi-attaches et élastiques intermaxillaires.;gpt4o;Évaluer l'occlusion, envisager un traitement multi-attaches et élastiques intermaxillaires.;评估咬合情况，考虑多附着治疗和颌间整形。;تقييم الانسداد، والنظر في العلاج متعدد الروابط والأشرطة المطاطية بين الفكين.;ประเมินการอุดฟัน พิจารณาการรักษาด้วยหลายแถบเหล็กดัดฟัน และยางดึงฟันระหว่างขากรรไกร;Evaluați ocluzia, luați în considerare tratamentul multi-atașament și elasticele intermaxilare.;Oceń okluzję, rozważ leczenie wielopunktowe i gumki międzyszczękowe.;Avaliar a oclusão, considerar o tratamento multi-inserção e elásticos intermaxilares.;咬合を評価し、マルチアタッチメント治療と顎間補綴を検討する。;Valutare l'occlusione, considerare il trattamento multi-attacco e gli elastici intermascellari.;Evaluar la oclusión, considerar el tratamiento multiatractivo y los elásticos intermaxilares.;Beurteilen Sie die Okklusion, erwägen Sie eine Behandlung mit mehreren Brackets und intermaxillären Gummibändern.;Évaluer l'occlusion, envisager a traitement multi-fasteners and intermaxillary elastics.;
