type;fr;en;de;es;it;ja;pt;pl;ro;th;ar;cn;# glossaire.csv V1.1.0 - 07/01/2026 12:41:28
a;incisifs;incisive;prägnant;incisivo;incisivo;鋭い;incisivo;wyrazisty;incisiv;ฟันตัด;قاطعة;透彻;
a;incisives;incisors;Schneidezähne;incisivos;incisivi;門歯;incisivos;siekacze;incisivi;ฟันตัด;القواطع;门牙;
a;inclus;including;enthalten;incluyendo;incluso;を含む;incluindo;w tym;inclusiv;รวมอยู่ด้วย;بما في ذلك;包括;
a;infectieuse;infectious;infektiös;infecciosa;infettivo;感染性;infecioso;zakaźny;infecțioase;ติดเชื้อ;معدية;传染病;
a;infectieuses;infectious;infektiös;infecciosa;infettivo;感染性;infecioso;zakaźny;infecțioase;ติดเชื้อ;معدية;传染病;
a;infectieux;infectious;infektiös;infecciosa;infettivo;感染性;infecioso;zakaźny;infecțioase;ติดเชื้อ;معدية;传染病;
a;latéral;lateral;seitlich;lateral;laterale;側面;lateral;boczny;lateral;ด้านข้าง;جانبي;侧面;
a;latérale;lateral;seitlich;lateral;laterale;側面;lateral;boczny;lateral;ด้านข้าง;جانبي;侧面;
a;latérales;lateral;seitlich;lateral;laterale;側面;lateral;boczny;lateral;ด้านข้าง;جانبي;侧面;
a;latéraux;lateral;seitlich;lateral;laterale;側面;lateral;boczny;lateral;ด้าน;جانبي;侧面;
a;mandibulaire;mandibular;Unterkiefer;mandibular;mandibolare;下顎骨;mandibular;żuchwa;mandibulară;ขากรรไกรล่าง;الفك السفلي;下颌;
a;mandibulaires;mandibular;Unterkiefer;mandibular;mandibolare;下顎骨;mandibular;żuchwa;mandibulară;ขากรรไกรล่าง;الفك السفلي;下颌;
a;maxillaire;maxilla;Oberkiefer;maxilar;mascella;上顎骨;maxila;szczęka;maxilar;ขากรรไกรบน;الفك العلوي;上颌骨;
a;maxillaires;maxilla;Kieferknochen;maxilar;mascella;上顎骨;maxila;szczęka;maxilar;ขากรรไกร;الفك العلوي;上颌骨;
a;modéré;moderate;mäßig;moderado;moderato;控えめ,中等度;moderado;umiarkowany;moderat;ปานกลาง;معتدلة;温和派;
a;modérée;moderate;mäßig;moderado;moderato;控えめ,中等度;moderado;umiarkowany;moderat;ปานกลาง;معتدلة;温和派;
a;modérées;moderate;mäßig;moderado;moderato;控えめ,中等度;moderado;umiarkowany;moderat;ปานกลาง;معتدلة;温和派;
a;modérés;moderate;gemäßigt;moderado;moderato;控えめ,中等度;moderado;umiarkowany;moderat;ปานกลาง;معتدلة;温和派;
a;nocturne;night;nächtlich;noche;notte;夜;noite;noc;noapte;กลางคืน;ليلاً;夜;
a;nocturnes;nocturnal;nächtlich;nocturna;notturno;夜行性;nocturna;nocny;nocturnă;กลางคืน;ليلي;昼伏夜出;
a;permanent;permanent;permanent;permanente;permanente;パーマネント;permanente;stały;permanent;ถาวร;دائم;常驻;
a;permanente;permanent;dauerhaft;permanente;permanente;パーマネント;permanente;stały;permanent;ถาวร;دائم;常驻;
a;permanentes;permanent;dauerhaft;permanente;permanente;パーマネント;permanente;stały;permanent;ถาวร;دائم;常驻;
a;permanents;permanent;dauerhaft;permanente;permanente;パーマネント;permanente;stały;permanent;ถาวร;دائم;常驻;
a;postérieur;back;posterior;volver;indietro;後方;voltar;z powrotem;înapoi;หลัง;العودة;后;
a;postérieurs;posterior;Hintergründe;posterior;posteriore;後;posterior;niższy;posterior;หลัง;الخلفية;后方;
a;post-traumatiques;post-traumatic;posttraumatisch;postraumático;post-traumatico;心的外傷後;pós-traumático;pourazowy;post-traumatic;หลังการบาดเจ็บทางจิตใจ;ما بعد الصدمة;创伤后;
a;programmé;programmed;programmiert;programado;programmato;予定通り;programado;zaprogramowany;programat;กำหนดไว้แล้ว;مبرمجة;程控;
a;programmée;programmed;programmiert;programado;programmato;予定通り;programado;zaprogramowany;programat;กำหนดไว้แล้ว;مبرمجة;程控;
a;programmées;programmed;programmiert;programado;programmato;予定通り;programado;zaprogramowany;programat;กำหนดไว้แล้ว;مبرمجة;程控;
a;programmés;programmed;programmiert;programado;programmato;予定通り;programado;zaprogramowany;programat;กำหนดไว้แล้ว;مبرمجة;程控;
a;réductible;reducible;reduzierbar;reducible;riducibile;かぎゃくかのう;redutível;redukowalny;reductibil;สามารถลดได้;قابل للاختزال;可还原;
a;réductibles;reducible;reduzierbar;reducible;riducibile;かぎゃくかのう;redutível;redukowalny;reductibil;สามารถลดได้;قابل للاختزال;可还原;
a;septique;septic;septisch;séptico;settico;腐敗性;sético;szambo;septic;ติดเชื้อในกระแสเลือด;التفسخ;化粪池;
a;sévère;severe;schwer;grave;grave;厳しい,重度;grave;poważny;severe;รุนแรง;شديدة;严酷;
a;sévères;severe;schwer;grave;grave;厳しい;grave;poważny;severe;รุนแรง;شديدة;严酷;
a;symétrique;symmetrical;symmetrisch;simétrico;simmetrico;対称的;simétrico;symetryczny;simetrice;สมมาตร;متماثل;对称;
a;symétriques;symmetrical;symmetrisch;simétrico;simmetrico;対称的;simétrico;symetryczny;simetrice;สมมาตร;متماثل;对称;
a;total;total;insgesamt;total;totale;合計;total;całkowity;total;ทั้งหมด;الإجمالي;总计;
a;totale;total;gesamt;total;totale;合計;total;całkowity;total;ทั้งหมด;الإجمالي;总计;
a;totales;total;gesamt;total;totale;合計;total;całkowity;total;ทั้งหมด;الإجمالي;总计;
a;totaux;totals;Gesamtwerte;totales;totali;合計;totais;sumy;totaluri;ยอดรวม;المجاميع;总数;
a;traumatique;traumatic;traumatisch;traumático;traumatico;トラウマティック;traumático;traumatyczny;traumatice;บาดแผลทางจิตใจ;الصدمة;创伤;
a;traumatiques;traumatic;traumatisch;traumático;traumatico;トラウマティック;traumático;traumatyczny;traumatice;บาดแผลทางจิตใจ;الصدمة;创伤;
a;unilatéral;unilateral;einseitig;unilateral;unilaterale;一方的;unilateral;jednostronny;unilaterale;ฝ่ายเดียว;من جانب واحد;单边;
a;unilatérale;unilateral;einseitig;unilateral;unilaterale;一方的;unilateral;jednostronny;unilaterale;ฝ่ายเดียว;من جانب واحد;单边;
c;à;to;à;à;à;à;à;à;à;ถึง;à;à;
c;affiche;display;Poster;cartel;manifesto;ポスター;cartaz;plakat;poster;โปสเตอร์;الملصق;海报;
c;âge;age;Alter;edad;età;年齢;idade;wiek;vârstă;อายุ;العمر;年龄;
c;âgé;aged;älter;ancianos;anziani;年配;idosos;osoby starsze;în vârstă;ผู้สูงอายุ;كبار السن;长者;
c;ans;years;Jahre;años;anni;年;anos;lata;ani;ปี;سنوات;岁月;
c;après;after;nach;después de;dopo;その後;após;po;după;หลังจาก;بعد;后;
c;aussi;also;auch;también;anche;また;também;również;de asemenea;นอกจากนี้;أيضاً;还;
c;aux;at;an;en;a;で;em;na;la;ถึง;في;于;
c;avant;before;vor;antes de;prima;以前;antes de;przed;înainte de;ก่อน;قبل;之前;
c;avec;with;mit;con;con;と;com;z;cu;กับ;مع;与;
c;cherche;search;sucht;busca;cerca;求める;procura;poszukiwania;caută;ค้นหา;البحث عن;寻求;
c;combien;how many;wie viel;cuánto;quanto;いくら;quanto;ile;cât de mult;เท่าไหร่;كم;多少;
c;comme;as;als;como;come;として;como;jak;ca;ในฐานะ;كما;作为;
c;dans;in;in;en;in;で;em;w;în;ใน;في;于;
c;de;of;von;de;da;より;de;z;de la;จาก;من;从;
c;des;some;der;de;da;より;de;z;de la;ของ;من;从;
c;donne;give;gibt;da;dà;与える;dá;daje;oferă;ให้;يعطي;给;
c;entre;between;zwischen;entre;tra;間;entre;pomiędzy;între;ระหว่าง;بين;之间;
c;et;and;und;y;e;そして;e;oraz;și;และ;و;和;
c;la;the;die;el;il;その;a;w;a;การ;فإن;的;
c;le;the;die;el;il;その;a;w;a;การ;فإن;的;
c;les;the;die;el;il;その;a;w;a;การ;فإن;的;
c;liste;list;Liste;lista;elenco;リスト;lista;lista;listă;รายการ;قائمة;清单;
c;moins;less;weniger;menos;meno;少ない;menos;mniej;mai puțin;น้อยกว่า;أقل;更少;
c;mois;months;Monat;mes;mese;月;mês;miesiąc;lună;เดือน;الشهر;月;
c;montre;show;Uhr;ver;orologio;時計;assistir;zegarek;ceas;ดู;شاهد;观看;
c;ne;not;ne;do;fare;する;fazer;robić;faceți;ไม่;افعل;做;
c;ont;have;haben;tienen;avere;持つ;ter;mieć;au;มี;لديك;有;
c;ou;or;oder;o;o;または;ou;lub;sau;หรือ;أو;或;
c;pas;not;nicht;no;non;ない;não;nie;nu;ไม่;لا;不;
c;patient;patient;Patient;paciente;paziente;辛抱強い;paciente;pacjent;pacient;ผู้ป่วย;مريض;病人;
c;patients;patients;Patienten;pacientes;pazienti;患者;pacientes;pacjenci;pacienți;ผู้ป่วย;المرضى;患者;
c;plus;more;mehr;más;di più;もっと見る;mais;więcej;mai mult;มากขึ้น;المزيد;更多;
c;pour;for;für;para;per;にとって;para;dla;pentru;สำหรับ;لـ;对于;
c;que;that;als;que;che;その;que;że;că;นั้น;أن;那;
c;qui;who;die;que;che;どの;que;który;care;ผู้;والتي;其中;
c;sans;without;ohne;sin;senza;なし;sem;bez;fără;โดยไม่มี;بدون;不带;
c;sont;are;sind;son;sono;は;são;są;sunt;คือ;هي;是;
c;sur;on;auf;en;su;オン;sobre;na;pe;บน;على;关于;
c;tous;all;alle;todos;tutti;すべて;todos;wszystko;toate;ทั้งหมด;كل شيء;一应俱全;
c;toutes;all;alle;todos;tutti;すべて;todos;wszystko;toate;ทั้งหมด;كل شيء;一应俱全;
c;très;very;sehr;muy;molto;とても;muito;bardzo;foarte;มาก;للغاية;非常;
c;trouve;find;findet;encuentre;trovare;見つける;encontrar;znaleźć;găsiți;ค้นหา;ابحث عن;找到;
c;un;a;eine;a;a;a;a;a;a;หนึ่ง;a;a;
c;une;a;eine;a;a;a;a;a;a;หนึ่ง;a;a;
c;vieux;old;alte;antiguo;vecchio;オールド;antigo;stary;vechi;เก่า;قديم;久远;
g;a depasse;has passed;hat überholt;ha superado;ha superato;を超えた;excedeu;przekroczył;a depășit;เกินกว่า;قد تجاوز;已超过;
g;ado;teen;Teenager;adolescente;adolescente;ティーンエイジャー;adolescente;nastolatek;adolescent;วัยรุ่น;مراهق;小将;
g;adolescent;teenager;Jugendlicher;adolescente;adolescente;ティーンエイジャー;adolescente;nastolatek;adolescent;วัยรุ่น;مراهق;小将;
g;adolescente;teenager;Teenager;adolescente;adolescente;ティーンエイジャー;adolescente;nastolatek;adolescent;วัยรุ่น;مراهق;小将;
g;ados;teens;Teens;adolescentes;adolescenti;ティーンエイジャー;adolescentes;nastolatki;adolescenți;วัยรุ่น;المراهقون;青少年;
g;adulte;adult;Erwachsener;para adultos;adulto;大人;adulto;dorosły;adult;ผู้ใหญ่;البالغين;成人;
g;adultes;adults;Erwachsene;adultos;adulti;大人;adultos;dorośli;adulți;ผู้ใหญ่;البالغون;成人;
g;masculin;male;männlich;masculino;maschile;男性;masculino;mężczyzna;bărbat;เพศชาย;الذكور;雄性;
g;masculins;male;männlich;masculino;maschile;男性;masculino;mężczyzna;bărbat;ชาย;الذكور;雄性;
g;féminin;female;weiblich;mujer;femminile;女性;feminino;kobieta;femeie;หญิง, หญิง, หญิง, หญิง, หญ;أنثى;女性;
g;féminine;female;weiblich;mujer;femminile;女性;feminino;kobieta;femeie;หญิง, หญิง, หญิง, หญิง, หญ;أنثى;女性;
g;féminins;women;weiblich;mujeres;donne;女性;mulheres;kobiety;femei;หญิง, หญิง, หญิง, หญิง, หญ;النساء;妇女;
g;féminines;women;weiblich;mujeres;donne;女性;mulheres;kobiety;femei;หญิง;النساء;妇女;
g;patiente;patient;Patientin;paciente;paziente;辛抱強い;paciente;pacjent;pacient;ผู้ป่วย;مريض;病人;
g;patientes;patients;Patientinnen;pacientes;pazienti;患者;pacientes;pacjenci;pacienți;ผู้ป่วย;المرضى;患者;
g;ans et moins;and under;Jahre und jünger;y bajo;e sotto;以下;e abaixo de;i poniżej;și sub;อายุไม่เกิน;وتحت;及以下;
g;approximativement;approximately;ungefähr;aproximadamente;circa;約;aproximadamente;w przybliżeniu;aproximativ;ประมาณ;تقريبًا;约;
g;au moins ;at least;mindestens;como mínimo;almeno;少なくとも;pelo menos;co najmniej;cel puțin;อย่างน้อย;على الأقل;至少;
g;autour de ;around;um;en torno a;intorno;周辺;em torno de;około;în jurul;รอบ;حول;围绕;
g;balais;years;Besen;escobas;scope;ほうき;vassouras;miotły;mături;ไม้กวาด;المكانس;扫帚;
g;berges;years;Flussufer;bancos;banche;銀行;bancos;banki;bănci;ธนาคาร;البنوك;银行;
g;dépasse;exceeds;überschreitet;supera;supera;を超える;excede;przekracza;depășește;เกินกว่า;يتجاوز;超出;
g;enfant;child;Kind;niño;bambino;子供;criança;dziecko;copil;เด็ก;طفل;孩子;
g;enfants;children;Kinder;niños;bambini;子供たち;crianças;dzieci;copii;เด็ก;الأطفال;儿童;
g;environ;about;ungefähr;acerca de;circa;について;sobre;o;despre;ประมาณ;حول;关于;
g;étudiant;student;Student;estudiante;studente;学生;estudante;uczeń;elev;นักเรียน;طالب;学生;
g;étudiante;student;Studentin;estudiante;studente;学生;estudante;uczeń;elev;นักเรียน;طالب;学生;
g;femme;woman;Frau;mujer;donna;女性;mulher;kobieta;femeie;ผู้หญิง;امرأة;女性;
g;femmes;women;Frauen;mujeres;donne;女性;mulheres;kobiety;femei;ผู้หญิง;النساء;妇女;
g;filles;girls;Mädchen;chicas;ragazze;女子;raparigas;dziewczyny;fete;เด็กผู้หญิง;الفتيات;女孩;
g;fillette;little girl;Mädchen;niña pequeña;bambina;少女;menina;mała dziewczynka;fetiță;เด็กผู้หญิง;فتاة صغيرة;丫头片子;
g;fillettes;little girls;Mädchen;chicas;ragazze;女子;raparigas;dziewczyny;fete;เด็กผู้หญิง;الفتيات;女孩;
g;gamin;kid;Kind;chico;bambino;キッド;miúdo;dziecko;copil;เด็ก;طفل;孩子;
g;gamins;kids;Kinder;niños;bambini;キッズ;crianças;dzieci;copii;เด็ก;الأطفال;孩子们;
g;garçon;boy;Junge;chico;ragazzo;少年;rapaz;chłopiec;băiat;เด็กชาย;الصبي;男孩;
g;gen x;gen x;gen x;gen x;gen x;ジェネックス;gen x;gen x;gen x;เจเนอเรชั่นเอ็กซ์;الجين س;gen x;
g;gen y;gen y;gen y;gen y;gen y;ジェンイー;gen y;gen y;gen y;เจเนอเรชั่นวาย;العام ذ;gen y;
g;gen z;gen z;gen z;gen z;gen z;ゼンゼン;gen z;gen z;gen z;เจเนอเรชั่น Z;الجيل z;gen z;
g;génération x;generation x;Generation x;generación x;generazione x;ジェネレーションエックス;geração x;generacja x;generația x;เจเนอเรชั่นเอ็กซ์;الجيل x;第十代;
g;génération y;generation y;Generation y;generación y;generazione y;ジェネレーションY;geração y;generacja y;generația y;เจเนอเรชั่นวาย;جيل ذ;第y代;
g;génération z;generation z;Generation z;generación z;generazione z;ゼロ世代;geração z;generacja z;generația z;เจเนอเรชั่น Z;الجيل z;第 z 代;
g;genx;gen x;gen x;gen x;gen x;ジェンクス;gen x;gen x;gen x;เจนเอ็กซ์;جينكس;基因;
g;geny;gen y;gen y;gen y;gen y;ジェニー;gen y;gen y;gen y;ยีน;جيني;基因;
g;genz;gen z;gen z;gen z;gen z;ゲンツ;gen z;gen z;gen z;เจนซ์;جينز;基因;
g;homme;man;Mann;hombre;uomo;男性;homem;mężczyzna;om;ผู้ชาย;رجل;人;
g;hommes;men;Männer;hombres;uomini;男性;homens;mężczyźni;bărbați;ผู้ชาย;الرجال;男人;
g;jeune adulte;young adult;junger Erwachsener;joven adulto;giovane adulto;ヤングアダルト;jovem adulto;młody dorosły;adult tânăr;วัยรุ่น;الشباب البالغين;青年;
g;jeunes filles;girls;junge Mädchen;chicas;ragazze;女子;raparigas;dziewczyny;fete;หญิงสาว;الفتيات;女孩;
g;jeunes hommes;young men;junge Männer;jóvenes;giovani uomini;青年;jovens;młodzi mężczyźni;bărbați tineri;ชายหนุ่ม;الشباب;年轻人;
g;loulou;sweetie;sweetie;niño;sweetie;ルールー;sweetie;sweetie;sweetie;ลูลู;لولو;楼兰;
g;louloute;sweetie;sweetie;niño;sweetie;ルルート;sweetie;sweetie;sweetie;ลูลูเต้;لولوت;sweetie;
g;millennial;millennial;millennial;millennial;millennial;ミレニアル;millennial;millennial;millennial;มิลเลนเนียล;جيل الألفية;千禧一代;
g;millennials;millennials;millennials;millennials;millennials;ミレニアルズ;millennials;millennials;millennials;มิลเลนเนียล;جيل الألفية;千禧一代;
g;mineur;minor;Minderjähriger;menor;minore;マイナー;menor;nieletni;minor;เล็กน้อย;قاصر;辅修;
g;mineure;minor;minderjährig;menor;minore;マイナー;menor;nieletni;minor;เล็กน้อย;قاصر;辅修;
g;minote;minote;minote;minote;minote;ミノート;minote;minotaur;minota;เด็กหญิง;مينوت;微型记事本;
g;moins de;less than;weniger;menos de;meno di;未満;menos de;mniej niż;mai puțin de;น้อยกว่า;أقل من;不到;
g;mome;kid;kid;niño;bambino;モーム;kid;kid;kid;เด็ก;موم;妈妈;
g;môme;kid;kid;niño;bambino;ムーム;kid;kid;kid;เด็ก;موم;kid;
g;momes;kids;Mumien;mamás;mamme;ママ;mães;mamy;mame;เด็ก;الأمهات;妈妈;
g;mômes;kids;kids;niños;bambini;キッズ;crianças;dzieci;copii;เด็ก;الأطفال;孩子们;
g;n'a pas;doesn't have;hat nicht;no ha;non ha;はない;não tem;nie;nu a;ไม่มี;لم;没有;
g;petit;little one;klein;pequeño;piccolo;小さい;pequeno;mały;mic;เล็ก;صغيرة;小;
g;petite;little one;kleine;pequeño;piccolo;小さい;pequeno;mały;mic;เล็ก;صغيرة;小;
g;petites;little ones;kleine;pequeño;piccolo;小さい;pequeno;mały;mic;เล็ก;صغيرة;小;
g;petits;little ones;kleine;pequeño;piccolo;小さい;pequeno;mały;mic;เล็ก;صغيرة;小;
g;pitchoun;little one;Pitchoun;niño;bambino;ピッチウン;kid;boisko;kid;เด็กน้อย;الملعب;沥青;
g;pitchouns;little ones;pitchouns;niño;suoni della pece;ピッチャー;kid;rzeczowniki;kid;เด็กเล็ก;الملعبون;沥青;
g;plus age que;older than;älter als;mayor que;più vecchio di;年上;mais velho que;starszy niż;mai vechi de;เก่ากว่า;أقدم من;超过;
g;pré adolescent;pre-adolescent;Pre-Teen;preadolescente;preadolescente;思春期前;pré-adolescente;przed okresem dojrzewania;preadolescent;วัยก่อนวัยรุ่น;ما قبل المراهقة;前青少年;
g;preado;pre-teen;Pre-Teen;preadolescente;preadolescente;プレティーン;pré-adolescente;nastolatek;preadolescent;วัยก่อนวัยรุ่น;ما قبل المراهقة;十三岁前;
g;pré-ado;pre-teen;Pre-Teen;preadolescente;preadolescente;プレティーン;pré-adolescente;nastolatek;preadolescent;วัยก่อนวัยรุ่น;ما قبل المراهقة;十三岁前;
g;preados;pre-teens;Pre-Teens;preadolescentes;preadolescenti;プレティーン;pré-adolescentes;nastolatki;preadolescenți;เด็กก่อนวัยรุ่น;ما قبل المراهقة;青少年;
g;pré-ados;pre-teens;Pre-Teens;preadolescentes;preadolescenti;プレティーン;pré-adolescentes;nastolatki;preadolescenți;เด็กก่อนวัยรุ่น;ما قبل المراهقة;青少年;
g;quadra;quadra;quadra;quadra;quadra;クアドラ;quadra;quadra;quadra;สี่สิบปี;كوادرا;四;
g;quadras;forties;Quadras;cuadras;quadrupedi;クアドラス;Quadras;Quadras;Quadras;สี่สิบปี;كوادراس;四叶草;
g;quinqua;quinqua;Quinqua;quinqua;quinqua;クィンクア;quinqua;quinqua;quinqua;ห้าสิบกว่า;كوينكوا;五;
g;quinquas;fifties;Quinquas;Quinquas;Quinquas;クィンクス;Quinquas;Quinquas;Quinquas;ยุคห้าสิบ;كوينكواس;五个;
g;sénior;senior;Senior;senior;senior;シニア;sénior;senior;senior;อาวุโส;الأقدم;长者;
g;soixantaine;sixty;sechzig;sesenta;sessanta;シックスティ;sessenta;sześćdziesiąt;șaizeci;ยุคหกสิบ;ستون;六十;
g;tout petit;very small;ganz klein;muy pequeño;molto piccolo;極小さい;muito pequeno;bardzo mały;foarte mic;เล็กมาก;صغير جداً;非常小;
g;trentaine;thirty;dreißig;treinta;trenta;三十;trinta;trzydzieści;treizeci;สามสิบปี;ثلاثون;卅;
g;vingtaine;twenty;zwanzig;veinte;venti;二十;vinte;dwadzieścia;douăzeci;ยี่สิบ;عشرون;二十;
pa;++;++;++;++;++;++;++;++;++;++;++;++;
